author,year,title,doi_or_url,venue,source,intervention_condition,brief_description,study_num_within_paper,outcome,n_t_post,n_c_post,n_t_total_pop,n_c_total_pop,eff_type,u_s_d,ctrl_sd,neg_null_pos,delay,theory,secondary_theory,self_report,outcome_category,cafeteria_or_restaurant__or_store_based,leaflet,video,delivery_method,internet,cluster_assigned,multi_component,delay_post_endline,public_pre_analysis_plan,open_data,emotional_activation,advocacy_org,country,population,age_info_if_given,inclusion_exclusion
Dijkstra,2022,"Lowering Red Meat and Processed Meat Consumption With Environmental, Animal Welfare, and Health Arguments in Italy: An Online Experiment",10.3389/fpsyg.2022.877911,Frontiers in Psychology,prior review: Conseca (2022),combined: interventions,"text with pictures on the environmental, animal welfare, or health consequences of meat consumption",one,self-reported red meat consumption,96,41,96,41,eta_squared,0.023,NA,0,14,Persuasion,animal welfare & health & environment,Y,self-reported meat consumption,N,N,N,internet,Y,N,N,14,N,N,Y,N,Italy,adults,mean age = 28.4,1
Emmons (a),2005,Project PREVENT: A Randomized Trial to Reduce Multiple Behavioral Risk Factors for Colon Cancer,10.1158/1055-9965.epi-04-0620,"Cancer Epidemiology, Biomarkers & Prevention",prior review: Bianchi (2018a),health counseling,education targeting behavioral risk factors for colorectal cancer among individuals who have been diagnosed with adenomatous colon polyps,one,red meat consumption (RMC),591,656,591,656,d_i_p,0.1,0.58,1,240,Persuasion,health,Y,self-reported meat consumption,N,N,N,worksite,N,N,N,120,N,N,N,N,United States,adults,40-75,1
Emmons (b),2005,"Cancer Prevention Among Working Class, Multiethnic Adults: Results of the Healthy Directions–Health Centers Study",10.2105/AJPH.2004.038695,American Journal of Public Health,prior review: Bianchi (2018a),Healthy Directions-Health Centers,"social-contextual approach ta geting multiple levels of influence on behaviors, with special attention to low literacy skills and the shared and unique features of culture across racial/ethnic groups",one,red meat consumption (RMC) -- 3 or fewer servings per week,5,5,960,978,d_i_p,0.12,0.53,1,240,Persuasion,health,Y,self-reported meat consumption,N,N,N,worksite,N,Y,Y,120,N,N,N,N,United States,adults,NA,1
Jaacks,2014,Long-term changes in dietary and food intake behaviour in the Diabetes Prevention Program Outcomes Study,10.1111/dme.12500,Diabetic Medicine,prior review: Ronto (2022),Diabetes Prevention Program,"""16-session core curriculum over the first 24 weeks, followed by an individualized counselling curriculum (at least monthly contact) with the primary intervention goals of achieving and maintaining a weight loss of ≥ 7% initial body weight and a moderate intensity activity level of ≥ 150 min per week [20]. Participants were advised to reduce dietary fat gram intake to < 25% of total calories based on a calorie estimate to achieve the weight loss goal, with the addition of a calorie goal if weight loss was not achieved after the first seven sessions""",one,red meat servings per day,673,718,673,718,d_i_d,0.1,12.461,0,3285,Persuasion,health,Y,self-reported meat consumption,N,N,N,counseling,N,N,N,2900,N,N,N,N,United States,adults,NA,1
James,2015,Impact of a nutrition and physical activity intervention (ENRICH: Exercise and Nutrition Routine Improving Cancer Health) on health behaviors of cancer survivors and carers: a pragmatic randomized controlled trial,10.1186/s12885-015-1775-y,BMC Cancer,prior review: Ronto (2022),ENRICH: Exercise and Nutrition Routine Improving Cancer Health,"Four weekly, 2-h sessions, and two 2-h fortnightly sessions were provided (total 6 sessions) with a mix of didactic information about health and physical activity as well as some ""practical activities (e.g., label reading, recipe modification, demonstration and practice of resist- ance exercises, setting step goals for the home-based walk- ing program).""",one,red meat (grams per day),75,58,75,58,d_i_p,0.040999999999999995,0.7066,0,140,Persuasion,health,Y,self-reported meat consumption,N,N,N,counseling,N,N,Y,112,N,N,N,N,Australia,adult cancer survivors,mean age 56-58,1
Lee,2018,Dietary and physical activity interventions for colorectal cancer survivors: a randomized controlled trial,10.1038/s41598-018-24042-6,Scientific Reports,prior review: Ronto (2022),diet_groups_combined,"""Theory of Planned Behavior (TPB) and the Health Action Process Approach (HAPA)"" intervention with face to face conversations, phone calls, ""educational pamphlets, mailed quarterly newsletters, and quarterly group meetings""",one,percent of people meeting the food targets for red meat reduction,93,99,93,99,d_i_p,0.18999999999999997,0.23199999999999998,1,730,Persuasion,health,Y,self-reported meat consumption,N,N,N,counseling,N,N,Y,730,N,N,N,N,Hong Kong,adults,mean age = 65.2,1
Lindström,2015,Nudging towards sustainable meat consumption: a natural field experiment,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A885664&dswid=8077,Master's thesis,AI search tool: undermind.ai,nudges + information,"two nudges and an appeal: colorful footsteps leading to the sustainable option, placing healthy options side by side with minced beef, and a message saying that carrots and beans are good for health, the environment, and animals",one,kilograms of minced beef sold per week,11,11,12619,12619,unspecified_null,0.01,1,0,42,Choice Architecture,animal welfare & health & environment,Y,Y,Y,N,N,in-store,N,Y,Y,0,N,N,N,N,Sweden,adults,NA,1
Perino,2022,Meaty arguments and fishy effects: Field experimental evidence on the impact of reasons to reduce meat consumption,10.1016/j.jeem.2022.102667,Journal of Environmental Economics and Management,prior review: Grummon (2023),Animal,a quote from a real newspaper article advocating a specific reason why reducing meat consumption is recommendable (interspecies benefits).,one,binary variable for whether their surveyed meal contained red meat or not,143,139,143,47,d_i_p,0.016,0.18,0,14,Persuasion,animal welfare,Y,self-reported meat consumption,N,N,N,internet,Y,N,N,7,N,N,N,N,Germany,adults,average age early 50s,1
Perino,2022,Meaty arguments and fishy effects: Field experimental evidence on the impact of reasons to reduce meat consumption,10.1016/j.jeem.2022.102667,Journal of Environmental Economics and Management,prior review: Grummon (2023),Climate,a quote from a real newspaper article advocating a specific reason why reducing meat consumption is recommendable (environmental benefits).,one,binary variable for whether their surveyed meal contained red meat or not,144,139,144,46,d_i_p,0.022,0.18,0,14,Persuasion,environment,Y,self-reported meat consumption,N,N,N,internet,Y,N,N,7,N,N,N,N,Germany,adults,average age early 50s,1
Perino,2022,Meaty arguments and fishy effects: Field experimental evidence on the impact of reasons to reduce meat consumption,10.1016/j.jeem.2022.102667,Journal of Environmental Economics and Management,prior review: Grummon (2023),Health,a quote from a real newspaper article advocating a specific reason why reducing meat consumption is recommendable (personal health).,one,binary variable for whether their surveyed meal contained red meat or not,133,139,133,46,d_i_p,0.065,0.18,1,14,Persuasion,health,Y,self-reported meat consumption,N,N,N,internet,Y,N,N,7,N,N,N,N,Germany,adults,average age early 50s,1
Schatzkin,2000,"Lack of Effect of a Low-Fat, High-Fiber Diet on the Recurrence of Colorectal Adenoma",10.1056/NEJM200004203421601,New England Journal of Medicine,prior review: Pomerleau (2005),low_fat_high_fiber_diet,"Low-Fat, High-Fiber Diet for adults with histologically confirmed colorectal adenomas delivered via ""more than 50 hours of"" intensive counseling involving ""nutritional information and behavior-modification techniques"" delivered over four years, ""including 20 hours in the first year""",one,red and processed meat (grams per day),192,189,192,189,d_i_d,15.700000000000003,23.371136044274785,1,1460,Persuasion,health,Y,self-reported meat consumption,N,N,N,conseling,N,N,Y,0,N,N,N,N,United States,adults over 35,mean age = 61,1
Sorensen,2005,"Promoting Behavior Change Among Working-Class, Multiethnic Workers: Results of the Healthy Directions–Small Business Study",10.2105/AJPH.2004.038745,American Journal of Public Health,prior review: Bianchi (2018a),cancer prevention intervention designed to prompote healthy behaviors,"""integrated interventions focused on nutrition, physical activity, and occupational health and activities focused on individual risk factors""",one,</= 3 servings of red meat per week,13,13,631,767,d_i_p,0.011,0.3,0,540,Persuasion,health,Y,self-reported meat consumption,N,N,N,worksite,N,Y,Y,540,N,N,N,N,United States,adults,NA,1
Wolstenholme,2020,"Two Birds, One Stone: The Effectiveness of Health and Environmental Messages to Reduce Meat Consumption and Encourage Pro-environmental Behavioral Spillover",10.3389/fpsyg.2020.577111,frontiers in Psychology,prior review: Chang (2023),health,daily message via automated private chat on Facebook Messenger about health reasons to eat less RPM,one,15-point response scale from 0 to 14 servings or more of red and processed meat (separately),56,52,56,17,reg_coef,1,3.23,0,44,Persuasion,health,Y,self-reported meat consumption,N,N,N,internet,Y,N,N,30,N,N,N,N,United Kingdom,university students,mean age = 20,1
Wolstenholme,2020,"Two Birds, One Stone: The Effectiveness of Health and Environmental Messages to Reduce Meat Consumption and Encourage Pro-environmental Behavioral Spillover",10.3389/fpsyg.2020.577111,frontiers in Psychology,prior review: Chang (2023),environment,"daily message via automated private chat on Facebook Messenger about environmental reasons to eat less RPM, e.g. ""If you eat only a small amount of red and processed meat, you will protect the environment by reducing excessive land use. Remember to try and eat no more than two portions of red and processed meat this week. Please record all of the food you have eaten today using today’s food diary.""",one,15-point response scale from 0 to 14 servings or more of red and processed meat (separately),67,52,67,17,reg_coef,1.08,3.23,0,44,Persuasion,environment,Y,self-reported meat consumption,N,N,N,internet,Y,N,N,30,N,N,N,N,United Kingdom,university students,mean age = 20,1
Wolstenholme,2020,"Two Birds, One Stone: The Effectiveness of Health and Environmental Messages to Reduce Meat Consumption and Encourage Pro-environmental Behavioral Spillover",10.3389/fpsyg.2020.577111,frontiers in Psychology,prior review: Chang (2023),health+environment,daily message via automated private chat on Facebook Messenger about health environmental reasons to eat less RPM,one,15-point response scale from 0 to 14 servings or more of red and processed meat (separately),63,52,63,18,reg_coef,1.72,3.23,1,44,persuasion,health & environment,Y,self-reported meat consumption,N,N,N,internet,Y,N,N,30,N,N,N,N,United Kingdom,university students,mean age = 20,1
