author,year,title,doi_or_url,venue,source,intervention_condition,brief_description,study_num_within_paper,outcome,n_t_post,n_c_post,n_t_total_pop,n_c_total_pop,eff_type,u_s_d,ctrl_sd,neg_null_pos,delay,theory,secondary_theory,self_report,outcome_category,cafeteria_or_restaurant__or_store_based,leaflet,video,delivery_method,internet,cluster_assigned,multi_component,delay_post_endline,public_pre_analysis_plan,open_data,emotional_activation,advocacy_org,country,population,age_info_if_given,notes
Garnett,2020,Order of meals at the counter and distance between options affect student cafeteria vegetarian sales,10.1038/s43016-020-0132-8,NA,internet search,college B spring short distance,putting vegetarian meals first (VegFirst) in a cafeteria setting with the non-veg option 85 cm behind in college B,two,proportion of vegetarian meals sold,4,4,300,300,d_i_p,-0.042,0.187,-1,87,choice architecture,NA,N,proportion_of_vegetarian_meals,Y,N,N,cafeteria,N,Y,N,0,N,https://www.repository.cam.ac.uk/items/57700283-a8df-4610-9881-f734e7331324,N,N,United Kingdom,university students,,"not randomized. Arguably the 'weekly' alteration is in the right ballpark but it's not really random. For the purposes of this robustness check we're looking at all the weekly alteration interventions, each as its own data point"
Hansen,2019,Nudging healthy and sustainable food choices: three randomized controlled field experiments using a vegetarian lunch-default as a normative signal,10.1093/pubmed/fdz154,Journal of Public Health,internet search,default vegetarian,three conference registrations where participants sign up for a meal; the default is vegetarian or not,one,does the meal have meat or not,52,56,52,56,d_i_p,0.85,0.02,1,0,Choice architecture,default,N,binary_for_meat_meal_or_not,N,N,N,internet,Y,N,N,0,N,N,N,N,Denmark,adults,,"no delay: this is a really nice study and I'd like to include it, but no delay between treatment commencement and final measurement. It's actually a really interesting datapoint for talking about how traditional psych/behavioral science studies and these kinds of actual real world interventions can be hard to integrate. This one does have an effect, and it does have policy-relevant implications, as does Gravert 2019. It just doesn't show enduring effects (people might have a meat dish the next day to compensate or something)."
Hansen,2019,Nudging healthy and sustainable food choices: three randomized controlled field experiments using a vegetarian lunch-default as a normative signal,10.1093/pubmed/fdz154,Journal of Public Health,internet search,default vegetarian,three conference registrations where participants sign up for a meal; the default is vegetarian or not,two,does the meal have meat or not,49,63,49,63,d_i_p,0.26,0.06,1,0,Choice architecture,default,N,binary_for_meat_meal_or_not,N,N,N,internet,Y,N,N,0,N,N,N,N,Denmark,adults,,"no delay: huge effects! this is a really nice study and I'd like to include it, but no delay between treatment commencement and final measurement. It's actually a really interesting datapoint for talking about how traditional psych/behavioral science studies and these kinds of actual real world interventions can be hard to integrate. This one does have an effect, and it does have policy-relevant implications, as does Gravert 2019. It just doesn't show enduring effects (people might have a meat dish the next day to compensate or something)."
Hansen,2019,Nudging healthy and sustainable food choices: three randomized controlled field experiments using a vegetarian lunch-default as a normative signal,10.1093/pubmed/fdz154,Journal of Public Health,internet search,default vegetarian,three conference registrations where participants sign up for a meal; the default is vegetarian or not,three,does the meal have meat or not,70,40,70,40,d_i_p,0.765,0.125,1,0,Choice architecture,default,N,binary_for_meat_meal_or_not,N,N,N,internet,Y,N,N,0,N,N,N,N,Denmark,adults,,"no delay: huge effects! this is a really nice study and I'd like to include it, but no delay between treatment commencement and final measurement. It's actually a really interesting datapoint for talking about how traditional psych/behavioral science studies and these kinds of actual real world interventions can be hard to integrate. This one does have an effect, and it does have policy-relevant implications, as does Gravert 2019. It just doesn't show enduring effects (people might have a meat dish the next day to compensate or something)."
Kaiser,2020,Financial rewards for long-term environmental protection,10.1016/j.jenvp.2020.101411,Journal of Environmental Psychology,RP research library,incentives condition,free vegetarian meals for a week (outcomes measured a week after that) at a German university cafeteria,one,self-reported proportion of vegetarian meals eaten,120,139,120,139,d_i_d,3.700000000000003,33.1,0,14,Free meat Alternatives,NA,Y,proportion_of_vegetarian_meals,N,N,N,price,N,N,N,7,N,N,N,N,Germany,university students and affiliates,,"Randomization issue (p. 7) where they weren't sure how to account for 32 participants, which is about 10%, and the treatment groups are lopsided."
Lentz,2020,Meat consumption and potential reduction for environmental and public health benefits,https://ourarchive.otago.ac.nz/esploro/outputs/doctoral/Meat-consumption-and-potential-reduction-for/9926478224801891#file-0,Master's thesis,RP systematic search,What the Health,film sessions held in rented rooms within the School of Geography at the University of Otago where participants watched one of three videos advocating for eating less meat or a control video about Jim Carcey's performance as Andy Kaufman in 'Man on the Moon',two,proportion saying they reduced their meat intake,22,21,22,7,d_i_p,0.403,0.14285714285714285,1,30,Persuasion,health,Y,binary_for_reduced_meat_or_not,N,N,Y,video,N,N,N,30,N,N,N,N,New Zealand,university students,,underpowered (about 21-22 subjects per arm). But actually a very nice design and of relevance to other forthcoming documentary studies
Lentz,2020,Meat consumption and potential reduction for environmental and public health benefits,https://ourarchive.otago.ac.nz/esploro/outputs/doctoral/Meat-consumption-and-potential-reduction-for/9926478224801891#file-0,Master's thesis,RP systematic search,Cowspiracy,film sessions held in rented rooms within the School of Geography at the University of Otago where participants watched one of three videos advocating for eating less meat or a control video about Jim Carcey's performance as Andy Kaufman in 'Man on the Moon',two,proportion saying they reduced their meat intake,21,21,21,7,d_i_p,0.357,0.14285714285714285,1,30,Persuasion,environment,Y,binary_for_reduced_meat_or_not,N,N,Y,video,N,N,N,30,N,N,N,N,New Zealand,university students,,underpowered (about 21-22 subjects per arm). But actually a very nice design and of relevance to other forthcoming documentary studies
Lentz,2020,Meat consumption and potential reduction for environmental and public health benefits,https://ourarchive.otago.ac.nz/esploro/outputs/doctoral/Meat-consumption-and-potential-reduction-for/9926478224801891#file-0,Master's thesis,RP systematic search,Earthlings,film sessions held in rented rooms within the School of Geography at the University of Otago where participants watched one of three videos advocating for eating less meat or a control video about Jim Carcey's performance as Andy Kaufman in 'Man on the Moon',two,proportion saying they reduced their meat intake,21,21,21,7,d_i_p,0.476,0.14285714285714285,1,30,Persuasion,animal welfare,Y,binary_for_reduced_meat_or_not,N,N,Y,video,N,N,N,30,N,N,Y,N,New Zealand,university students,,underpowered (about 21-22 subjects per arm). But actually a very nice design and of relevance to other forthcoming documentary studies
Lindström,2015,Nudging towards sustainable meat consumption: a natural field experiment,https://su.diva-portal.org/smash/record.jsf?pid=diva2%3A885664&dswid=8077,Master's thesis,undermind.ai,nudges + information,"two nudges and an appeal: colorful footsteps leading to the sustainable option, placing healthy options side by side with minced beef, and a message saying that carrots and beans are good for health, the environment, and animals",one,kilograms of minced beef sold per week,11,11,12619,12619,d_i_m,156,724.57,0,42,Choice architecture,animal welfare & health & environment,Y,Y,Y,N,N,in-store,N,Y,Y,0,N,N,N,N,Sweden,adults,,"statistical reporting issue: there's no reporting on spread, just multivariate regression results. I'm also seeing that four stores dropped out/weren't implementing the nudges, so how we end up with 11 in each group, I am not sure. How does a control store not implement control?  As to the overall results, ""the results from the regression analysis showed that none of the models explaining minced beef consumption (model. 1, 4, 5 and 8) proved enough statistical evidence to reject the null-hypothesis 1; that the nudge-intervention had no effect on consumption in treatment group."""
Loy,2016,Supporting Sustainable Food Consumption: Mental Contrasting with Implementation Intentions (MCII) Aligns Intentions and Behavior,10.3389/fpsyg.2016.00607,Frontiers in psychology,Harguess,MCII+information,"mental contrasting with implementation intentions (MCII) wherepeople identify and imagine a desired future andcurrent obstacles standing in its way, then  address the obstacles with if-then plans specifying when, where, and how to act differently.",one,food diary (meat reduction in grams per day),27,28,27,28,d_i_d,23.299999999999997,45.4,1,28,Persuasion & Psychology,"health, animal welfare, and environment",Y,grams_per_day,N,N,N,printed materials,N,N,N,28,N,N,N,N,Germany,university students,,"horse-race design: Control group receives information (""All participants read a text providing information about meat consumption...It not only addressed environmental consequences of meat consumption but also other arguments for reduced consumption...These further arguments referred to ethical, health, and social/political aspects of meat consumption including references to scientific publications"") where treatment group also receives ""mental contrasting with implementation intentions (MCII)"" intervention. There's a third condition that was collected and presented in the first author's thesis but it will compare to the same control group"
Piazza,2022,Monitoring a meat-free pledge with smartphones: An experimental study,10.1016/j.appet.2021.105726,Appetite,internet search,pledge,recruited to take a pledge to do your best to stop eating meat for a month,one,self-reported meat consumption,33,33,133,133,unspecified_null,0.01,1,0,58,Persuasion,health,Y,self-reported meat eating,N,N,N,text message,N,Y,Y,30,https://aspredicted.org/tj6a3.pdf,https://doi.org/10.17605/OSF.IO/U4J58,N,N,"United Kingdom, Australia, and Germany",NA,,"horse race design (all participants received information about going meat free). A bit tricky to get a handle on the effect sizes (and the data were not very easy to understand) but the difference in the treatment group is B =0.01 and the difference in the control gruop is B = -0.01 so we're calling it an unspecified null of 0.01. The Ns are also ab it of a guess beacuse we don't know how many people were in each group (At all sites, the briefing sessions, which lasted approximately 30–40 min, were run with 2–8 participants to reduce the number of total sessions required...random assignment was applied to sessions"")"
Reinders,2017,Menu-engineering in restaurants - adapting portion sizes on plates to enhance vegetable consumption: a real-life experiment,10.1186/s12966-017-0496-9,International Journal of Behavioral Nutrition,Bianchi 2018(b),portion size change group,the vegetable portion sizes on the plates of main dishes were doubled (150 g of vegetables instead of 75 g) and the portion sizes of meat on the plates were reduced by an average of 12.5%.,one,grams of meat eaten,3,3,470,536,d_i_d,28,52.71975910415373,1,42,Portion size,NA,N,grams of meat eaten,Y,N,N,in-restaurant,N,Y,N,0,N,N,N,N,Netherlands,adults,,"underpowered & portion size change (involuntary): 3 clusters but still a nice study, worth summarising"
Vlaeminck,2014,Food labeling and eco-friendly consumption: Experimental evidence from a Belgian supermarket,10.1016/j.ecolecon.2014.10.019,Ecological Economics,RP systematic search,different labels for food in a Belgian supermarket conveying information about their environmental impact. Treatment least was plain text without colors about different categories of environmental harms resulting from an item,Treatment Least,one,binary for whether participants selected an animal protein item or not,50,50,50,25,d_i_p,0.04799999999999999,0.211,0,0,Persuasion,environment,N,binary_for_meat_meal_or_not,Y,N,N,label,N,N,N,0,N,N,N,N,Belgium,adults,,no delay & horse-race design
Vlaeminck,2014,Food labeling and eco-friendly consumption: Experimental evidence from a Belgian supermarket,10.1016/j.ecolecon.2014.10.019,Ecological Economics,RP systematic search,different labels for food in a Belgian supermarket conveying information about their environmental impact. Treatment most was a color-coded label conveying information about environmental harms of food items,Treatment Most,one,binary for whether participants selected an animal protein item or not,50,50,50,25,d_i_p,0.063,0.211,1,0,Persuasion,environment,N,binary_for_meat_meal_or_not,Y,N,N,label,N,N,N,0,N,N,N,N,Belgium,adults,,no delay & horse-race design
